P7 · Murphy decomposition · HEAD=d70eadc7 · python=3.11.15
cell hill d=6 sigma_rel=0.25 · arms=('doe', 'qlogei', 'qlognei', 'lhs', 'sobol', 'random', 'versionb', 'versionb_random', 'versionb_predictive', 'plate1_only')
gamma=(0.5, 0.7, 0.8, 0.9, 0.95, 0.99)
tau_frac=(0.6, 0.75, 0.85, 0.95) · 10 equal-count bins
grid: 20000 Sobol at seed 0

50 (instance, seed) pairs x 10 arms = 500 campaigns

[ 23/50] versionb 763e0f58925816ca seed=0 regret=0.1668 rows=24 (3.5s)
[ 23/50] versionb_random 763e0f58925816ca seed=0 regret=0.1668 rows=24 (3.2s)
[ 23/50] versionb_predictive 763e0f58925816ca seed=0 regret=0.1668 rows=24 (3.7s)
[ 23/50] plate1_only 763e0f58925816ca seed=0 regret=0.1848 rows=24 (2.8s)
[ 24/50] doe      763e0f58925816ca seed=1 regret=0.1676 rows=24 (2.8s)
[ 24/50] qlogei   763e0f58925816ca seed=1 regret=0.1704 rows=24 (23.2s)
[ 24/50] qlognei  763e0f58925816ca seed=1 regret=0.2482 rows=24 (18.1s)
[ 24/50] lhs      763e0f58925816ca seed=1 regret=0.1617 rows=24 (2.5s)
[ 24/50] sobol    763e0f58925816ca seed=1 regret=0.3031 rows=24 (2.4s)
[ 24/50] random   763e0f58925816ca seed=1 regret=0.2451 rows=24 (2.5s)
[ 24/50] versionb 763e0f58925816ca seed=1 regret=0.2492 rows=24 (3.4s)
[ 24/50] versionb_random 763e0f58925816ca seed=1 regret=0.2492 rows=24 (2.7s)
[ 24/50] versionb_predictive 763e0f58925816ca seed=1 regret=0.2492 rows=24 (3.4s)
[ 24/50] plate1_only 763e0f58925816ca seed=1 regret=0.1617 rows=24 (2.6s)
[ 25/50] doe      7b6071e568a98779 seed=0 regret=0.1033 rows=24 (2.8s)
[ 25/50] qlogei   7b6071e568a98779 seed=0 regret=0.1446 rows=24 (17.4s)
[ 25/50] qlognei  7b6071e568a98779 seed=0 regret=0.0964 rows=24 (16.5s)
[ 25/50] lhs      7b6071e568a98779 seed=0 regret=0.1528 rows=24 (2.3s)
[ 25/50] sobol    7b6071e568a98779 seed=0 regret=0.1003 rows=24 (2.3s)
[ 25/50] random   7b6071e568a98779 seed=0 regret=0.2328 rows=24 (2.3s)
[ 25/50] versionb 7b6071e568a98779 seed=0 regret=0.1143 rows=24 (3.1s)
[ 25/50] versionb_random 7b6071e568a98779 seed=0 regret=0.1143 rows=24 (2.7s)
[ 25/50] versionb_predictive 7b6071e568a98779 seed=0 regret=0.0792 rows=24 (3.2s)
[ 25/50] plate1_only 7b6071e568a98779 seed=0 regret=0.1528 rows=24 (2.4s)
[ 26/50] doe      7b6071e568a98779 seed=1 regret=0.0686 rows=24 (2.5s)
[ 26/50] qlogei   7b6071e568a98779 seed=1 regret=0.0604 rows=24 (11.8s)
[ 26/50] qlognei  7b6071e568a98779 seed=1 regret=0.1136 rows=24 (13.9s)
[ 26/50] lhs      7b6071e568a98779 seed=1 regret=0.1065 rows=24 (2.5s)
[ 26/50] sobol    7b6071e568a98779 seed=1 regret=0.0277 rows=24 (2.6s)
[ 26/50] random   7b6071e568a98779 seed=1 regret=0.3129 rows=24 (2.7s)
[ 26/50] versionb 7b6071e568a98779 seed=1 regret=0.2285 rows=24 (3.4s)
[ 26/50] versionb_random 7b6071e568a98779 seed=1 regret=0.2285 rows=24 (2.7s)
[ 26/50] versionb_predictive 7b6071e568a98779 seed=1 regret=0.2285 rows=24 (3.2s)
[ 26/50] plate1_only 7b6071e568a98779 seed=1 regret=0.1065 rows=24 (2.4s)
[ 27/50] doe      7ef3fc89acece49c seed=0 regret=0.0566 rows=24 (2.5s)
[ 27/50] qlogei   7ef3fc89acece49c seed=0 regret=0.0540 rows=24 (36.0s)
[ 27/50] qlognei  7ef3fc89acece49c seed=0 regret=0.0836 rows=24 (15.6s)
[ 27/50] lhs      7ef3fc89acece49c seed=0 regret=0.1102 rows=24 (2.3s)
[ 27/50] sobol    7ef3fc89acece49c seed=0 regret=0.1195 rows=24 (2.3s)
[ 27/50] random   7ef3fc89acece49c seed=0 regret=0.1668 rows=24 (2.3s)
[ 27/50] versionb 7ef3fc89acece49c seed=0 regret=0.1631 rows=24 (3.2s)
[ 27/50] versionb_random 7ef3fc89acece49c seed=0 regret=0.1631 rows=24 (2.5s)
[ 27/50] versionb_predictive 7ef3fc89acece49c seed=0 regret=0.1631 rows=24 (3.0s)
[ 27/50] plate1_only 7ef3fc89acece49c seed=0 regret=0.1102 rows=24 (2.3s)
