Version C section 4's registered prediction · hartmann6 vs hill
  hartmann6 is multimodal with disconnected superlevel sets, so a single inscribed box is bounded by the largest component; hill is unimodal and has one component, so the decomposition has nothing to recover

[ 234/300] hartmann6   qlognei    d=6 s=0.1 seed=2 comps 0..0 (13.4s)
[ 235/300] hartmann6   versionb   d=6 s=0.1 seed=3 comps 0..0 (1.8s)
[ 236/300] hartmann6   lhs        d=6 s=0.1 seed=3 comps 0..0 (1.0s)
[ 237/300] hartmann6   qlognei    d=6 s=0.1 seed=3 comps 0..0 (8.7s)
[ 238/300] hartmann6   versionb   d=6 s=0.1 seed=4 comps 0..0 (2.2s)
[ 239/300] hartmann6   lhs        d=6 s=0.1 seed=4 comps 0..0 (1.1s)
[ 240/300] hartmann6   qlognei    d=6 s=0.1 seed=4 comps 0..1 (9.0s)
[ 241/300] hartmann6   versionb   d=6 s=0.1 seed=5 comps 0..0 (1.4s)
[ 242/300] hartmann6   lhs        d=6 s=0.1 seed=5 comps 0..0 (1.2s)
[ 243/300] hartmann6   qlognei    d=6 s=0.1 seed=5 comps 0..3 (10.1s)
[ 244/300] hartmann6   versionb   d=6 s=0.1 seed=6 comps 0..0 (1.6s)
[ 245/300] hartmann6   lhs        d=6 s=0.1 seed=6 comps 0..0 (1.0s)
[ 246/300] hartmann6   qlognei    d=6 s=0.1 seed=6 comps 0..0 (11.2s)
[ 247/300] hartmann6   versionb   d=6 s=0.1 seed=7 comps 0..0 (1.5s)
[ 248/300] hartmann6   lhs        d=6 s=0.1 seed=7 comps 0..0 (1.0s)
[ 249/300] hartmann6   qlognei    d=6 s=0.1 seed=7 comps 0..1 (12.1s)
[ 250/300] hartmann6   versionb   d=6 s=0.1 seed=8 comps 0..0 (1.4s)
[ 251/300] hartmann6   lhs        d=6 s=0.1 seed=8 comps 0..0 (0.9s)
[ 252/300] hartmann6   qlognei    d=6 s=0.1 seed=8 comps 0..3 (11.1s)
[ 253/300] hartmann6   versionb   d=6 s=0.1 seed=9 comps 0..0 (1.3s)
[ 254/300] hartmann6   lhs        d=6 s=0.1 seed=9 comps 0..0 (0.9s)
[ 255/300] hartmann6   qlognei    d=6 s=0.1 seed=9 comps 0..2 (8.8s)
[ 256/300] hartmann6   versionb   d=6 s=0.1 seed=10 comps 0..5 (1.6s)
[ 257/300] hartmann6   lhs        d=6 s=0.1 seed=10 comps 0..0 (0.9s)
[ 258/300] hartmann6   qlognei    d=6 s=0.1 seed=10 comps 0..3 (10.7s)
[ 259/300] hartmann6   versionb   d=6 s=0.1 seed=11 comps 0..0 (1.4s)
[ 260/300] hartmann6   lhs        d=6 s=0.1 seed=11 comps 0..0 (1.0s)
[ 261/300] hartmann6   qlognei    d=6 s=0.1 seed=11 comps 0..2 (7.0s)
[ 262/300] hartmann6   versionb   d=6 s=0.1 seed=12 comps 0..0 (1.3s)
[ 263/300] hartmann6   lhs        d=6 s=0.1 seed=12 comps 0..0 (0.9s)
[ 264/300] hartmann6   qlognei    d=6 s=0.1 seed=12 comps 0..2 (9.8s)
