spade-final-2026-08-23 · C2 · hill d=6 sigma=0.1 · tier=primary
11 arms x 100 campaigns · draws=4096 (split 2048/2048) · grid=20000
regime by tau_frac: {0.1: 'ROBUSTNESS', 0.25: 'TARGET'}
⚠️  working tree dirty; code_commit is not a faithful fingerprint

[ 285/1100] qlogei               7b6071e568a9 seed=1   rows=12 (15.2m, eta 43m)
[ 286/1100] doe                  7b6071e568a9 seed=1   rows=12 (15.2m, eta 43m)
[ 287/1100] spade_cf_m0          7ef3fc89acec seed=0   rows=12 (15.3m, eta 43m)
[ 288/1100] spade_cf_m4          7ef3fc89acec seed=0   rows=12 (15.3m, eta 43m)
[ 289/1100] spade_cf_m8          7ef3fc89acec seed=0   rows=12 (15.3m, eta 43m)
[ 290/1100] spade_plate1_only    7ef3fc89acec seed=0   rows=12 (15.4m, eta 43m)
[ 291/1100] spade_random_plate2  7ef3fc89acec seed=0   rows=12 (15.4m, eta 43m)
[ 292/1100] sobol                7ef3fc89acec seed=0   rows=12 (15.4m, eta 43m)
[ 293/1100] lhs                  7ef3fc89acec seed=0   rows=12 (15.5m, eta 43m)
[ 294/1100] random               7ef3fc89acec seed=0   rows=12 (15.5m, eta 42m)
[ 295/1100] qlognei              7ef3fc89acec seed=0   rows=12 (15.6m, eta 43m)
[ 296/1100] qlogei               7ef3fc89acec seed=0   rows=12 (15.7m, eta 43m)
